State,Region,Division,Abbreviation
Alabama,South,East South Central,AL
Alaska,West,Pacific,AK
Arizona,West,Mountain,AZ
Arkansas,South,West South Central,AR
California,West,Pacific,CA
Colorado,West,Mountain,CO
Connecticut,Northeast,New England,CT
Delaware,South,South Atlantic,DE
District of Columbia,South,South Atlantic,DC
Florida,South,South Atlantic,DL
Georgia,South,South Atlantic,GA
Hawaii,West,Pacific,HI
Idaho,West,Mountain,ID
Illinois,Midwest,East North Central,IL
Indiana,Midwest,East North Central,IN
Iowa,Midwest,West North Central,IA
Kansas,Midwest,West North Central,KS
Kentucky,South,East South Central,KY
Louisiana,South,West South Central,LA
Maine,Northeast,New England,ME
Maryland,South,South Atlantic,MD
Massachusetts,Northeast,New England,MA
Michigan,Midwest,East North Central,MI
Minnesota,Midwest,West North Central,MN
Mississippi,South,East South Central,MS
Missouri,Midwest,West North Central,MO
Montana,West,Mountain,MT
Nebraska,Midwest,West North Central,NE
Nevada,West,Mountain,NV
New Hampshire,Northeast,New England,NH
New Jersey,Northeast,Middle Atlantic,NJ
New Mexico,West,Mountain,NM
New York,Northeast,Middle Atlantic,NY
North Carolina,South,South Atlantic,NC
North Dakota,Midwest,West North Central,ND
Ohio,Midwest,East North Central,OH
Oklahoma,South,West South Central,OK
Oregon,West,Pacific,OR
Pennsylvania,Northeast,Middle Atlantic,PA
Rhode Island,Northeast,New England,RI
South Carolina,South,South Atlantic,SC
South Dakota,Midwest,West North Central,SD
Tennessee,South,East South Central,TN
Texas,South,West South Central,TX
Utah,West,Mountain,UT
Vermont,Northeast,New England,VT
Virginia,South,South Atlantic,VA
Washington,West,Pacific,WA
West Virginia,South,South Atlantic,WV
Wisconsin,Midwest,East North Central,WI
Wyoming,West,Mountain,WY